medal|prize|country|year
Gold|152988|Bahrain|2000
Silver|47225|Bahrain|2000
Bronze|19688|Bahrain|2000
Gold|175442|Bahrain|2002
Silver|44128|Bahrain|2002
Bronze|17125|Bahrain|2002
Gold|191059|Bahrain|2004
Silver|72717|Bahrain|2004
Bronze|28502|Bahrain|2004
Gold|115251|Bahrain|2006
Silver|76930|Bahrain|2006
Bronze|11618|Bahrain|2006
Gold|184221|Bahrain|2008
Silver|49878|Bahrain|2008
Bronze|26041|Bahrain|2008
Gold|119360|Bahrain|2010
Silver|65348|Bahrain|2010
Bronze|18206|Bahrain|2010
Gold|179292|Bahrain|2012
Silver|45265|Bahrain|2012
Bronze|17297|Bahrain|2012
Gold|173466|Barbados|2000
Silver|57011|Barbados|2000
Bronze|10041|Barbados|2000
Gold|118300|Barbados|2002
Silver|67540|Barbados|2002
Bronze|21375|Barbados|2002
Gold|129985|Barbados|2004
Silver|69396|Barbados|2004
Bronze|25079|Barbados|2004
Gold|139985|Barbados|2006
Silver|71662|Barbados|2006
Bronze|18264|Barbados|2006
Gold|147226|Barbados|2008
Silver|65414|Barbados|2008
Bronze|16614|Barbados|2008
Gold|110992|Barbados|2010
Silver|76442|Barbados|2010
Bronze|11723|Barbados|2010
Gold|126953|Barbados|2012
Silver|66266|Barbados|2012
Bronze|18006|Barbados|2012
Gold|150096|Belarus|2000
Silver|44982|Belarus|2000
Bronze|12579|Belarus|2000
Gold|92661|Belarus|2002
Silver|78196|Belarus|2002
Bronze|28114|Belarus|2002
Gold|189173|Belarus|2004
Silver|67943|Belarus|2004
Bronze|17416|Belarus|2004
Gold|108753|Belarus|2006
Silver|40482|Belarus|2006
Bronze|21066|Belarus|2006
Gold|134157|Belarus|2008
Silver|51874|Belarus|2008
Bronze|11153|Belarus|2008
Gold|153718|Belarus|2010
Silver|63983|Belarus|2010
Bronze|14518|Belarus|2010
Gold|128062|Belarus|2012
Silver|49698|Belarus|2012
Bronze|25080|Belarus|2012
Gold|151129|Belgium|2000
Silver|59283|Belgium|2000
Bronze|20968|Belgium|2000
Gold|93396|Belgium|2002
Silver|56028|Belgium|2002
Bronze|16096|Belgium|2002
Gold|118829|Belgium|2004
Silver|66317|Belgium|2004
Bronze|20605|Belgium|2004
Gold|159598|Belgium|2006
Silver|50511|Belgium|2006
Bronze|10785|Belgium|2006
Gold|120089|Belgium|2008
Silver|49887|Belgium|2008
Bronze|25680|Belgium|2008
Gold|134431|Belgium|2010
Silver|53663|Belgium|2010
Bronze|14488|Belgium|2010
Gold|147932|Belgium|2012
Silver|66582|Belgium|2012
Bronze|23531|Belgium|2012
Gold|119702|Botswana|2000
Silver|45960|Botswana|2000
Bronze|19390|Botswana|2000
Gold|171398|Botswana|2002
Silver|51730|Botswana|2002
Bronze|23561|Botswana|2002
Gold|155253|Botswana|2004
Silver|63534|Botswana|2004
Bronze|18597|Botswana|2004
Gold|145425|Botswana|2006
Silver|57347|Botswana|2006
Bronze|29130|Botswana|2006
Gold|167554|Botswana|2008
Silver|55215|Botswana|2008
Bronze|21011|Botswana|2008
Gold|150903|Botswana|2010
Silver|50861|Botswana|2010
Bronze|22897|Botswana|2010
Gold|176419|Botswana|2012
Silver|61891|Botswana|2012
Bronze|11325|Botswana|2012
Gold|186882|Brazil|2000
Silver|74215|Brazil|2000
Bronze|19733|Brazil|2000
Gold|134020|Brazil|2002
Silver|64352|Brazil|2002
Bronze|14693|Brazil|2002
Gold|162097|Brazil|2004
Silver|48612|Brazil|2004
Bronze|12955|Brazil|2004
Gold|110185|Brazil|2006
Silver|42057|Brazil|2006
Bronze|13538|Brazil|2006
Gold|119514|Brazil|2008
Silver|57094|Brazil|2008
Bronze|18371|Brazil|2008
Gold|128994|Brazil|2010
Silver|50659|Brazil|2010
Bronze|29736|Brazil|2010
Gold|184890|Brazil|2012
Silver|79811|Brazil|2012
Bronze|11938|Brazil|2012
Gold|100184|Bulgaria|2000
Silver|55709|Bulgaria|2000
Bronze|28209|Bulgaria|2000
Gold|139859|Bulgaria|2002
Silver|57454|Bulgaria|2002
Bronze|15461|Bulgaria|2002
Gold|108313|Bulgaria|2004
Silver|49202|Bulgaria|2004
Bronze|22469|Bulgaria|2004
Gold|93882|Bulgaria|2006
Silver|72026|Bulgaria|2006
Bronze|26319|Bulgaria|2006
Gold|98290|Bulgaria|2008
Silver|71524|Bulgaria|2008
Bronze|28337|Bulgaria|2008
Gold|197004|Bulgaria|2010
Silver|62064|Bulgaria|2010
Bronze|27937|Bulgaria|2010
Gold|194123|Bulgaria|2012
Silver|49640|Bulgaria|2012
Bronze|22863|Bulgaria|2012
Gold|160379|Cameroon|2000
Silver|50188|Cameroon|2000
Bronze|12615|Cameroon|2000
Gold|169816|Cameroon|2002
Silver|53282|Cameroon|2002
Bronze|13470|Cameroon|2002
Gold|182849|Cameroon|2004
Silver|58014|Cameroon|2004
Bronze|19778|Cameroon|2004
Gold|141339|Cameroon|2006
Silver|75525|Cameroon|2006
Bronze|25266|Cameroon|2006
Gold|119697|Cameroon|2008
Silver|41050|Cameroon|2008
Bronze|24098|Cameroon|2008
Gold|166142|Cameroon|2010
Silver|62613|Cameroon|2010
Bronze|19399|Cameroon|2010
Gold|167860|Cameroon|2012
Silver|49463|Cameroon|2012
Bronze|17301|Cameroon|2012
Gold|140171|Canada|2000
Silver|45017|Canada|2000
Bronze|27915|Canada|2000
Gold|116251|Canada|2002
Silver|79961|Canada|2002
Bronze|16815|Canada|2002
Gold|146938|Canada|2004
Silver|52424|Canada|2004
Bronze|27638|Canada|2004
Gold|96561|Canada|2006
Silver|54932|Canada|2006
Bronze|10638|Canada|2006
Gold|98232|Canada|2008
Silver|51503|Canada|2008
Bronze|13776|Canada|2008
Gold|134318|Canada|2010
Silver|73784|Canada|2010
Bronze|26534|Canada|2010
Gold|141514|Canada|2012
Silver|60392|Canada|2012
Bronze|29101|Canada|2012
Gold|187159|Chile|2000
Silver|59732|Chile|2000
Bronze|15833|Chile|2000
Gold|150911|Chile|2002
Silver|65683|Chile|2002
Bronze|29527|Chile|2002
Gold|152148|Chile|2004
Silver|67091|Chile|2004
Bronze|14463|Chile|2004
Gold|117119|Chile|2006
Silver|40327|Chile|2006
Bronze|16692|Chile|2006
Gold|136091|Chile|2008
Silver|44617|Chile|2008
Bronze|22313|Chile|2008
Gold|136168|Chile|2010
Silver|76923|Chile|2010
Bronze|25395|Chile|2010
Gold|114239|Chile|2012
Silver|41632|Chile|2012
Bronze|15245|Chile|2012
Gold|117653|China|2000
Silver|57662|China|2000
Bronze|17051|China|2000
Gold|129671|China|2002
Silver|43500|China|2002
Bronze|27070|China|2002
Gold|190075|China|2004
Silver|44203|China|2004
Bronze|21202|China|2004
Gold|135442|China|2006
Silver|60029|China|2006
Bronze|27909|China|2006
Gold|187098|China|2008
Silver|66116|China|2008
Bronze|26158|China|2008
Gold|135061|China|2010
Silver|76398|China|2010
Bronze|18010|China|2010
Gold|194085|China|2012
Silver|61909|China|2012
Bronze|27447|China|2012
Gold|141726|Chinese Taipei|2000
Silver|51736|Chinese Taipei|2000
Bronze|18133|Chinese Taipei|2000
Gold|134578|Chinese Taipei|2002
Silver|73751|Chinese Taipei|2002
Bronze|25683|Chinese Taipei|2002
Gold|180913|Chinese Taipei|2004
Silver|42104|Chinese Taipei|2004
Bronze|23220|Chinese Taipei|2004
Gold|95785|Chinese Taipei|2006
Silver|48761|Chinese Taipei|2006
Bronze|10302|Chinese Taipei|2006
Gold|145143|Chinese Taipei|2008
Silver|62382|Chinese Taipei|2008
Bronze|23109|Chinese Taipei|2008
Gold|119881|Chinese Taipei|2010
Silver|76432|Chinese Taipei|2010
Bronze|19215|Chinese Taipei|2010
Gold|175633|Chinese Taipei|2012
Silver|47978|Chinese Taipei|2012
Bronze|26126|Chinese Taipei|2012
Gold|146745|Colombia|2000
Silver|68775|Colombia|2000
Bronze|28106|Colombia|2000
Gold|180697|Colombia|2002
Silver|75286|Colombia|2002
Bronze|28303|Colombia|2002
Gold|181770|Colombia|2004
Silver|73931|Colombia|2004
Bronze|11702|Colombia|2004
Gold|132229|Colombia|2006
Silver|47013|Colombia|2006
Bronze|21684|Colombia|2006
Gold|164075|Colombia|2008
Silver|66469|Colombia|2008
Bronze|29142|Colombia|2008
Gold|115865|Colombia|2010
Silver|63639|Colombia|2010
Bronze|20098|Colombia|2010
Gold|154515|Colombia|2012
Silver|48987|Colombia|2012
Bronze|20825|Colombia|2012
Gold|104367|Costa Rica|2000
Silver|74489|Costa Rica|2000
Bronze|21826|Costa Rica|2000
Gold|132275|Costa Rica|2002
Silver|75666|Costa Rica|2002
Bronze|18203|Costa Rica|2002
Gold|162226|Costa Rica|2004
Silver|64319|Costa Rica|2004
Bronze|15602|Costa Rica|2004
Gold|144416|Costa Rica|2006
Silver|48240|Costa Rica|2006
Bronze|24728|Costa Rica|2006
Gold|123717|Costa Rica|2008
Silver|60715|Costa Rica|2008
Bronze|26149|Costa Rica|2008
Gold|189983|Costa Rica|2010
Silver|61874|Costa Rica|2010
Bronze|23499|Costa Rica|2010
Gold|133677|Costa Rica|2012
Silver|53051|Costa Rica|2012
Bronze|29192|Costa Rica|2012
Gold|90381|Croatia|2000
Silver|46306|Croatia|2000
Bronze|27130|Croatia|2000
Gold|133149|Croatia|2002
Silver|40996|Croatia|2002
Bronze|25176|Croatia|2002
Gold|103290|Croatia|2004
Silver|47562|Croatia|2004
Bronze|11049|Croatia|2004
Gold|156542|Croatia|2006
Silver|42820|Croatia|2006
Bronze|22881|Croatia|2006
Gold|107125|Croatia|2008
Silver|65123|Croatia|2008
Bronze|14515|Croatia|2008
Gold|128230|Croatia|2010
Silver|65070|Croatia|2010
Bronze|23190|Croatia|2010
Gold|97433|Croatia|2012
Silver|53428|Croatia|2012
Bronze|10626|Croatia|2012
Gold|130675|Cuba|2000
Silver|40395|Cuba|2000
Bronze|14216|Cuba|2000
Gold|113858|Cuba|2002
Silver|50772|Cuba|2002
Bronze|15261|Cuba|2002
Gold|175350|Cuba|2004
Silver|61023|Cuba|2004
Bronze|19426|Cuba|2004
Gold|173466|Cuba|2006
Silver|75390|Cuba|2006
Bronze|13302|Cuba|2006
Gold|126150|Cuba|2008
Silver|73787|Cuba|2008
Bronze|28199|Cuba|2008
Gold|131637|Cuba|2010
Silver|48499|Cuba|2010
Bronze|13806|Cuba|2010
Gold|179320|Cuba|2012
Silver|73760|Cuba|2012
Bronze|28340|Cuba|2012
Gold|134744|Cyprus|2000
Silver|63116|Cyprus|2000
Bronze|14020|Cyprus|2000
Gold|188947|Cyprus|2002
Silver|77557|Cyprus|2002
Bronze|29862|Cyprus|2002
Gold|140102|Cyprus|2004
Silver|62295|Cyprus|2004
Bronze|28534|Cyprus|2004
Gold|91960|Cyprus|2006
Silver|43498|Cyprus|2006
Bronze|11056|Cyprus|2006
Gold|159041|Cyprus|2008
Silver|77268|Cyprus|2008
Bronze|12920|Cyprus|2008
Gold|137129|Cyprus|2010
Silver|46875|Cyprus|2010
Bronze|28118|Cyprus|2010
Gold|173680|Cyprus|2012
Silver|59867|Cyprus|2012
Bronze|27886|Cyprus|2012
Gold|116226|Czech Republic|2000
Silver|63680|Czech Republic|2000
Bronze|16210|Czech Republic|2000
Gold|158752|Czech Republic|2002
Silver|46165|Czech Republic|2002
Bronze|11794|Czech Republic|2002
Gold|179366|Czech Republic|2004
Silver|72670|Czech Republic|2004
Bronze|29031|Czech Republic|2004
Gold|169026|Czech Republic|2006
Silver|49820|Czech Republic|2006
Bronze|10913|Czech Republic|2006
Gold|112487|Czech Republic|2008
Silver|64855|Czech Republic|2008
Bronze|14466|Czech Republic|2008
Gold|121539|Czech Republic|2010
Silver|41531|Czech Republic|2010
Bronze|16813|Czech Republic|2010
Gold|182543|Czech Republic|2012
Silver|53593|Czech Republic|2012
Bronze|29694|Czech Republic|2012
Gold|173482|Denmark|2000
Silver|49079|Denmark|2000
Bronze|28093|Denmark|2000
Gold|161021|Denmark|2002
Silver|52708|Denmark|2002
Bronze|12069|Denmark|2002
Gold|186289|Denmark|2004
Silver|72909|Denmark|2004
Bronze|10111|Denmark|2004
Gold|184156|Denmark|2006
Silver|55006|Denmark|2006
Bronze|25922|Denmark|2006
Gold|115992|Denmark|2008
Silver|75779|Denmark|2008
Bronze|23077|Denmark|2008
Gold|165212|Denmark|2010
Silver|75043|Denmark|2010
Bronze|19195|Denmark|2010
Gold|104138|Denmark|2012
Silver|63591|Denmark|2012
Bronze|16991|Denmark|2012
Gold|186458|Dominican Republic|2000
Silver|48544|Dominican Republic|2000
Bronze|13550|Dominican Republic|2000
Gold|150339|Dominican Republic|2002
Silver|47877|Dominican Republic|2002
Bronze|27485|Dominican Republic|2002
Gold|131088|Dominican Republic|2004
Silver|65871|Dominican Republic|2004
Bronze|28547|Dominican Republic|2004
Gold|188420|Dominican Republic|2006
Silver|44188|Dominican Republic|2006
Bronze|17367|Dominican Republic|2006
Gold|144595|Dominican Republic|2008
Silver|65288|Dominican Republic|2008
Bronze|20418|Dominican Republic|2008
Gold|104144|Dominican Republic|2010
Silver|79469|Dominican Republic|2010
Bronze|24476|Dominican Republic|2010
Gold|90395|Dominican Republic|2012
Silver|52978|Dominican Republic|2012
Bronze|27523|Dominican Republic|2012
Gold|152990|Ecuador|2000
Silver|52489|Ecuador|2000
Bronze|11731|Ecuador|2000
Gold|99748|Ecuador|2002
Silver|41112|Ecuador|2002
Bronze|24363|Ecuador|2002
Gold|119206|Ecuador|2004
Silver|43371|Ecuador|2004
Bronze|18014|Ecuador|2004
Gold|117372|Ecuador|2006
Silver|60527|Ecuador|2006
Bronze|10972|Ecuador|2006
Gold|95027|Ecuador|2008
Silver|62437|Ecuador|2008
Bronze|13219|Ecuador|2008
Gold|129548|Ecuador|2010
Silver|73317|Ecuador|2010
Bronze|14267|Ecuador|2010
Gold|154625|Ecuador|2012
Silver|58560|Ecuador|2012
Bronze|22367|Ecuador|2012
Gold|193869|Egypt|2000
Silver|63735|Egypt|2000
Bronze|29785|Egypt|2000
Gold|99793|Egypt|2002
Silver|56543|Egypt|2002
Bronze|14198|Egypt|2002
Gold|131787|Egypt|2004
Silver|48049|Egypt|2004
Bronze|18761|Egypt|2004
Gold|107247|Egypt|2006
Silver|59687|Egypt|2006
Bronze|13058|Egypt|2006
Gold|135838|Egypt|2008
Silver|63732|Egypt|2008
Bronze|19071|Egypt|2008
Gold|102958|Egypt|2010
Silver|41013|Egypt|2010
Bronze|27514|Egypt|2010
Gold|164834|Egypt|2012
Silver|79235|Egypt|2012
Bronze|20594|Egypt|2012
Gold|119549|Eritrea|2000
Silver|72532|Eritrea|2000
Bronze|13465|Eritrea|2000
Gold|113886|Eritrea|2002
Silver|47678|Eritrea|2002
Bronze|11240|Eritrea|2002
Gold|97476|Eritrea|2004
Silver|44903|Eritrea|2004
Bronze|17698|Eritrea|2004
Gold|145881|Eritrea|2006
Silver|64960|Eritrea|2006
Bronze|20316|Eritrea|2006
Gold|174006|Eritrea|2008
Silver|61763|Eritrea|2008
Bronze|11744|Eritrea|2008
Gold|124449|Eritrea|2010
Silver|49681|Eritrea|2010
Bronze|25885|Eritrea|2010
Gold|175151|Eritrea|2012
Silver|78895|Eritrea|2012
Bronze|13911|Eritrea|2012
Gold|138107|Estonia|2000
Silver|53608|Estonia|2000
Bronze|12549|Estonia|2000
Gold|165790|Estonia|2002
Silver|64115|Estonia|2002
Bronze|16308|Estonia|2002
Gold|184469|Estonia|2004
Silver|43626|Estonia|2004
Bronze|27025|Estonia|2004
Gold|189214|Estonia|2006
Silver|74577|Estonia|2006
Bronze|29936|Estonia|2006
Gold|106454|Estonia|2008
Silver|55643|Estonia|2008
Bronze|10490|Estonia|2008
Gold|199978|Estonia|2010
Silver|61797|Estonia|2010
Bronze|15934|Estonia|2010
Gold|192064|Estonia|2012
Silver|49796|Estonia|2012
Bronze|18149|Estonia|2012
Gold|198746|Ethiopia|2000
Silver|51727|Ethiopia|2000
Bronze|15548|Ethiopia|2000
Gold|108934|Ethiopia|2002
Silver|76500|Ethiopia|2002
Bronze|22921|Ethiopia|2002
Gold|154896|Ethiopia|2004
Silver|55184|Ethiopia|2004
Bronze|12799|Ethiopia|2004
Gold|104874|Ethiopia|2006
Silver|48044|Ethiopia|2006
Bronze|28007|Ethiopia|2006
Gold|175142|Ethiopia|2008
Silver|64848|Ethiopia|2008
Bronze|27815|Ethiopia|2008
Gold|199375|Ethiopia|2010
Silver|66872|Ethiopia|2010
Bronze|11113|Ethiopia|2010
Gold|135394|Ethiopia|2012
Silver|62052|Ethiopia|2012
Bronze|11748|Ethiopia|2012
Gold|169855|Finland|2000
Silver|43041|Finland|2000
Bronze|21101|Finland|2000
Gold|127368|Finland|2002
Silver|53463|Finland|2002
Bronze|22187|Finland|2002
Gold|110731|Finland|2004
Silver|60873|Finland|2004
Bronze|20618|Finland|2004
Gold|117412|Finland|2006
Silver|43814|Finland|2006
Bronze|13070|Finland|2006
Gold|97904|Finland|2008
Silver|78726|Finland|2008
Bronze|20854|Finland|2008
Gold|133093|Finland|2010
Silver|49262|Finland|2010
Bronze|22158|Finland|2010
Gold|168495|Finland|2012
Silver|47044|Finland|2012
Bronze|21480|Finland|2012
Gold|117870|France|2000
Silver|61190|France|2000
Bronze|14705|France|2000
Gold|109732|France|2002
Silver|50613|France|2002
Bronze|23094|France|2002
Gold|135923|France|2004
Silver|40260|France|2004
Bronze|22460|France|2004
Gold|169619|France|2006
Silver|46882|France|2006
Bronze|19437|France|2006
Gold|157936|France|2008
Silver|44272|France|2008
Bronze|22727|France|2008
Gold|114526|France|2010
Silver|42404|France|2010
Bronze|22320|France|2010
Gold|94499|France|2012
Silver|55199|France|2012
Bronze|17400|France|2012
Gold|121041|Gabon|2000
Silver|76634|Gabon|2000
Bronze|27093|Gabon|2000
Gold|100513|Gabon|2002
Silver|65138|Gabon|2002
Bronze|17710|Gabon|2002
Gold|175256|Gabon|2004
Silver|65329|Gabon|2004
Bronze|15771|Gabon|2004
Gold|197756|Gabon|2006
Silver|70532|Gabon|2006
Bronze|15732|Gabon|2006
Gold|142265|Gabon|2008
Silver|62398|Gabon|2008
Bronze|27509|Gabon|2008
Gold|166418|Gabon|2010
Silver|55697|Gabon|2010
Bronze|18620|Gabon|2010
Gold|174737|Gabon|2012
Silver|58604|Gabon|2012
Bronze|11585|Gabon|2012
Gold|166128|Georgia|2000
Silver|60697|Georgia|2000
Bronze|22109|Georgia|2000
Gold|153274|Georgia|2002
Silver|78347|Georgia|2002
Bronze|23101|Georgia|2002
Gold|189673|Georgia|2004
Silver|63811|Georgia|2004
Bronze|17577|Georgia|2004
Gold|179331|Georgia|2006
Silver|78990|Georgia|2006
Bronze|13813|Georgia|2006
Gold|93850|Georgia|2008
Silver|74576|Georgia|2008
Bronze|16523|Georgia|2008
Gold|150165|Georgia|2010
Silver|42075|Georgia|2010
Bronze|27262|Georgia|2010
Gold|180878|Georgia|2012
Silver|61489|Georgia|2012
Bronze|21547|Georgia|2012
Gold|102196|Germany|2000
Silver|52336|Germany|2000
Bronze|12392|Germany|2000
Gold|113275|Germany|2002
Silver|47529|Germany|2002
Bronze|21453|Germany|2002
Gold|91455|Germany|2004
Silver|65510|Germany|2004
Bronze|29609|Germany|2004
Gold|134637|Germany|2006
Silver|52077|Germany|2006
Bronze|13452|Germany|2006
Gold|185079|Germany|2008
Silver|73717|Germany|2008
Bronze|24004|Germany|2008
Gold|93247|Germany|2010
Silver|73333|Germany|2010
Bronze|26764|Germany|2010
Gold|195837|Germany|2012
Silver|69604|Germany|2012
Bronze|22534|Germany|2012
Gold|181219|Great Britain|2000
Silver|47222|Great Britain|2000
Bronze|29378|Great Britain|2000
Gold|121250|Great Britain|2002
Silver|61745|Great Britain|2002
Bronze|19018|Great Britain|2002
Gold|177542|Great Britain|2004
Silver|43317|Great Britain|2004
Bronze|16842|Great Britain|2004
Gold|165906|Great Britain|2006
Silver|72665|Great Britain|2006
Bronze|18930|Great Britain|2006
Gold|97891|Great Britain|2008
Silver|57731|Great Britain|2008
Bronze|26227|Great Britain|2008
Gold|177251|Great Britain|2010
Silver|69426|Great Britain|2010
Bronze|26258|Great Britain|2010
Gold|145056|Great Britain|2012
Silver|62756|Great Britain|2012
Bronze|13545|Great Britain|2012
Gold|120684|Greece|2000
Silver|51936|Greece|2000
Bronze|20081|Greece|2000
Gold|132354|Greece|2002
Silver|43443|Greece|2002
Bronze|27678|Greece|2002
Gold|133563|Greece|2004
Silver|70062|Greece|2004
Bronze|26968|Greece|2004
Gold|173292|Greece|2006
Silver|60726|Greece|2006
Bronze|18497|Greece|2006
Gold|138890|Greece|2008
Silver|75703|Greece|2008
Bronze|19596|Greece|2008
Gold|134940|Greece|2010
Silver|69061|Greece|2010
Bronze|11242|Greece|2010
Gold|140105|Greece|2012
Silver|67653|Greece|2012
Bronze|10646|Greece|2012
Gold|125783|Grenada|2000
Silver|79050|Grenada|2000
Bronze|25012|Grenada|2000
Gold|187778|Grenada|2002
Silver|76319|Grenada|2002
Bronze|15053|Grenada|2002
Gold|151654|Grenada|2004
Silver|66405|Grenada|2004
Bronze|28874|Grenada|2004
Gold|148297|Grenada|2006
Silver|72237|Grenada|2006
Bronze|23579|Grenada|2006
Gold|98975|Grenada|2008
Silver|47716|Grenada|2008
Bronze|24295|Grenada|2008
Gold|165147|Grenada|2010
Silver|50950|Grenada|2010
Bronze|28679|Grenada|2010
Gold|198272|Grenada|2012
Silver|44550|Grenada|2012
Bronze|23595|Grenada|2012
Gold|155920|Guatemala|2000
Silver|64110|Guatemala|2000
Bronze|27536|Guatemala|2000
Gold|163480|Guatemala|2002
Silver|52145|Guatemala|2002
Bronze|27500|Guatemala|2002
Gold|117766|Guatemala|2004
Silver|40688|Guatemala|2004
Bronze|11639|Guatemala|2004
Gold|145028|Guatemala|2006
Silver|62238|Guatemala|2006
Bronze|13542|Guatemala|2006
Gold|197120|Guatemala|2008
Silver|55760|Guatemala|2008
Bronze|12560|Guatemala|2008
Gold|147279|Guatemala|2010
Silver|64620|Guatemala|2010
Bronze|27143|Guatemala|2010
Gold|157842|Guatemala|2012
Silver|60285|Guatemala|2012
Bronze|18369|Guatemala|2012
Gold|90546|Hong Kong|2000
Silver|47200|Hong Kong|2000
Bronze|25946|Hong Kong|2000
Gold|142689|Hong Kong|2002
Silver|58232|Hong Kong|2002
Bronze|16669|Hong Kong|2002
Gold|158623|Hong Kong|2004
Silver|57309|Hong Kong|2004
